Kareem,1000,35,190,250,900,750,1550,1000,1
Gaza,250,30,130,200,650,600,910,800,1
Beirut,300,32,180,200,850,750,1500,1000,2
Riyadh ,250,29,130,200,650,600,600,800,2
Baghdad,250,28,120,200,600,600,850,800,2
ClubOfLuck,150,,,,,,,,
Benghazi ,150,22,75,130,275,440,650,550,3
Aden,100,17,72,100,280,310,600,450,3
Bahrain,90,15,60,80,300,250,480,350,3
Casablanca,250,30,130,200,600,550,850,750,4
GasStation,300,40,,,,,,,
Tunisia,200,25,120,165,600,260,800,490,4
Algeria,300,35,185,520,850,750,1000,1000,4
Alexandria,325,45,220,300,100,850,1700,1200,5
Aleppo,300,35,185,250,850,750,1500,1000,5
Aswan,200,27,130,165,700,360,900,490,6
Damascus,350,50,250,320,1200,900,1850,1250,6
Cairo,450,55,320,400,1500,1200,2400,1600,6
Khartoum,200,27,130,170,630,370,850,500,7
Oman,250,30,130,200,600,550,850,750,7
Luxor,200,30,75,250,100,550,150,750,8
Port Said,250,30,140,210,700,550,900,800,7
Sana'a,250,28,125,200,600,550,900,750,9
Kuwait,250,30,125,220,620,600,925,820,9
Qatar,150,20,75,120,375,260,600,480,9
